scenario,metric,contribution
now,x1,18.0
now,x2,4.182548355890563
now,x3,12.0
now,x4,12.0
now,x5,8.0
now,x6,0.0
now,x7,7.731146144013634
now,x8,3.318514535036594
now,x9,10.0
future2030,x1,18.0
future2030,x2,0.0
future2030,x3,12.0
future2030,x4,12.0
future2030,x5,8.0
future2030,x6,0.0
future2030,x7,7.688538559863654
future2030,x8,3.318514535036594
future2030,x9,10.0
future2050,x1,18.0
future2050,x2,0.0
future2050,x3,12.0
future2050,x4,12.0
future2050,x5,8.0
future2050,x6,0.0
future2050,x7,7.624627183638687
future2050,x8,3.318514535036594
future2050,x9,10.0
future2080,x1,18.0
future2080,x2,0.0
future2080,x3,12.0
future2080,x4,12.0
future2080,x5,8.0
future2080,x6,0.0
future2080,x7,7.528760119301236
future2080,x8,3.318514535036594
future2080,x9,10.0
